a,b,d2_pnl,d2_n,d3_pnl,d3_n,d4_pnl,d4_n,total_pnl,negative_days
MICROCHIP_CIRCLE,PEBBLES_XL,7830.0,7,58770.0,18,40545.0,16,107145.0,0
SLEEP_POD_POLYESTER,MICROCHIP_TRIANGLE,11505.0,7,22140.0,10,26070.0,27,59715.0,0
MICROCHIP_OVAL,PEBBLES_XS,13345.0,11,19750.0,10,22930.0,24,56025.0,0
ROBOT_VACUUMING,SNACKPACK_RASPBERRY,7550.0,8,11920.0,14,32350.0,27,51820.0,0
PEBBLES_S,PANEL_2X2,5125.0,6,19645.0,19,26590.0,18,51360.0,0
ROBOT_DISHES,UV_VISOR_RED,5815.0,6,7630.0,10,33200.0,13,46645.0,0
SLEEP_POD_SUEDE,PEBBLES_M,-8030.0,6,22310.0,15,32345.0,16,46625.0,1
ROBOT_IRONING,TRANSLATOR_ECLIPSE_CHARCOAL,13685.0,10,13905.0,13,12345.0,17,39935.0,0
MICROCHIP_RECTANGLE,TRANSLATOR_VOID_BLUE,12880.0,11,-8105.0,7,34075.0,20,38850.0,1
ROBOT_LAUNDRY,UV_VISOR_AMBER,7870.0,10,15475.0,17,12890.0,14,36235.0,0
PANEL_1X2,PANEL_2X4,-1155.0,10,6720.0,11,29865.0,19,35430.0,1
OXYGEN_SHAKE_EVENING_BREATH,SNACKPACK_STRAWBERRY,-9095.0,4,21935.0,21,20270.0,14,33110.0,1
GALAXY_SOUNDS_PLANETARY_RINGS,MICROCHIP_SQUARE,-5335.0,9,8310.0,8,26320.0,11,29295.0,1
TRANSLATOR_GRAPHITE_MIST,PANEL_4X4,1255.0,6,5220.0,13,21020.0,18,27495.0,0
GALAXY_SOUNDS_BLACK_HOLES,OXYGEN_SHAKE_GARLIC,960.0,6,11430.0,10,15025.0,18,27415.0,0
TRANSLATOR_ASTRO_BLACK,OXYGEN_SHAKE_MORNING_BREATH,4880.0,8,11040.0,13,10305.0,11,26225.0,0
SLEEP_POD_NYLON,OXYGEN_SHAKE_CHOCOLATE,13940.0,11,1560.0,10,9865.0,10,25365.0,0
SLEEP_POD_LAMB_WOOL,SNACKPACK_VANILLA,-3170.0,5,3160.0,13,23165.0,17,23155.0,1
GALAXY_SOUNDS_DARK_MATTER,TRANSLATOR_SPACE_GRAY,-480.0,7,2195.0,8,19245.0,13,20960.0,1
GALAXY_SOUNDS_SOLAR_FLAMES,SNACKPACK_PISTACHIO,-2400.0,5,835.0,8,15200.0,22,13635.0,1
SLEEP_POD_COTTON,PEBBLES_L,-11565.0,4,2150.0,9,19980.0,14,10565.0,1
PANEL_1X4,SNACKPACK_CHOCOLATE,615.0,5,1980.0,11,5735.0,10,8330.0,0
ROBOT_MOPPING,UV_VISOR_MAGENTA,11600.0,10,-13320.0,8,6935.0,12,5215.0,1
