a,b,mid_pnl,real_pnl,n,winrate_real,haircut_pct
MICROCHIP_CIRCLE,PEBBLES_XL,107145.0,96830.0,41,0.8536585365853658,9.627140790517519
SLEEP_POD_POLYESTER,MICROCHIP_TRIANGLE,59715.0,51430.0,44,0.8863636363636364,13.874235954115377
MICROCHIP_OVAL,PEBBLES_XS,56025.0,48770.0,45,0.8888888888888888,12.949576082106207
PEBBLES_S,PANEL_2X2,51360.0,42780.0,43,0.8604651162790697,16.70560747663551
ROBOT_DISHES,UV_VISOR_RED,46645.0,40350.0,29,0.8620689655172413,13.49555150605638
ROBOT_VACUUMING,SNACKPACK_RASPBERRY,51820.0,40290.0,49,0.9387755102040817,22.25009648784253
SLEEP_POD_SUEDE,PEBBLES_M,46625.0,37870.0,37,0.8648648648648649,18.777479892761395
ROBOT_IRONING,TRANSLATOR_ECLIPSE_CHARCOAL,39935.0,33890.0,40,0.875,15.137097783898835
MICROCHIP_RECTANGLE,TRANSLATOR_VOID_BLUE,38850.0,32360.0,38,0.8157894736842105,16.705276705276706
ROBOT_LAUNDRY,UV_VISOR_AMBER,36235.0,29110.0,41,0.8780487804878049,19.663308955429837
PANEL_1X2,PANEL_2X4,35430.0,26800.0,40,0.825,24.35788879480666
GALAXY_SOUNDS_PLANETARY_RINGS,MICROCHIP_SQUARE,29295.0,22070.0,28,0.75,24.662911759685958
OXYGEN_SHAKE_EVENING_BREATH,SNACKPACK_STRAWBERRY,33110.0,21450.0,39,0.7948717948717948,35.21594684385382
TRANSLATOR_GRAPHITE_MIST,PANEL_4X4,27495.0,20900.0,37,0.8648648648648649,23.986179305328236
TRANSLATOR_ASTRO_BLACK,OXYGEN_SHAKE_MORNING_BREATH,26225.0,19650.0,32,0.75,25.071496663489036
SLEEP_POD_NYLON,OXYGEN_SHAKE_CHOCOLATE,25365.0,18950.0,31,0.8064516129032258,25.290754977330966
GALAXY_SOUNDS_BLACK_HOLES,OXYGEN_SHAKE_GARLIC,27415.0,17130.0,34,0.7647058823529411,37.515958416925045
GALAXY_SOUNDS_DARK_MATTER,TRANSLATOR_SPACE_GRAY,20960.0,14890.0,28,0.7142857142857143,28.959923664122133
SLEEP_POD_LAMB_WOOL,SNACKPACK_VANILLA,23155.0,13980.0,35,0.7714285714285715,39.62427121572014
SLEEP_POD_COTTON,PEBBLES_L,10565.0,4340.0,27,0.7407407407407407,58.92096545196404
GALAXY_SOUNDS_SOLAR_FLAMES,SNACKPACK_PISTACHIO,13635.0,3130.0,35,0.7142857142857143,77.04437110377704
PANEL_1X4,SNACKPACK_CHOCOLATE,8330.0,1810.0,26,0.5384615384615384,78.27130852340936
ROBOT_MOPPING,UV_VISOR_MAGENTA,5215.0,-1400.0,30,0.7333333333333333,126.84563758389262
