entry_z,exit_z,total_pnl,total_n,total_w,d4_pnl,d4_n,d4_w,winrate,d4_winrate
1.5,0.3,813260.0,840,690,552415.0,392,348,0.8214285714285714,0.8877551020408163
1.5,0.2,807605.0,788,648,548740.0,369,329,0.8223350253807107,0.8915989159891599
1.5,0.1,800395.0,740,607,538925.0,345,305,0.8202702702702702,0.8840579710144928
1.25,0.2,813590.0,962,800,533465.0,448,402,0.8316008316008316,0.8973214285714286
1.25,0.3,814865.0,1041,867,531605.0,481,430,0.8328530259365994,0.893970893970894
1.0,0.2,828545.0,1240,1045,530415.0,566,505,0.842741935483871,0.892226148409894
1.0,0.3,838505.0,1383,1162,524515.0,623,556,0.8402024584237165,0.8924558587479936
1.25,0.1,823880.0,895,736,523855.0,412,367,0.8223463687150838,0.8907766990291263
1.0,0.1,835355.0,1128,946,518070.0,509,456,0.8386524822695035,0.8958742632612967
1.0,0.75,799040.0,2951,2577,507130.0,1298,1174,0.8732633005760759,0.9044684129429892
1.5,0.5,754420.0,944,778,505415.0,433,382,0.8241525423728814,0.8822170900692841
1.0,0.5,802625.0,1772,1509,504565.0,794,713,0.8515801354401806,0.8979848866498741
1.25,0.5,751540.0,1223,1015,499670.0,564,503,0.8299264104660671,0.8918439716312057
1.25,0.75,746685.0,1677,1415,470995.0,739,659,0.8437686344663089,0.8917456021650879
1.75,0.1,701900.0,589,482,459160.0,262,232,0.8183361629881154,0.8854961832061069
1.75,0.2,693805.0,615,501,448135.0,270,240,0.8146341463414634,0.8888888888888888
1.5,0.75,701175.0,1157,958,434185.0,500,439,0.8280034572169404,0.878
1.75,0.3,681475.0,644,524,433345.0,278,245,0.8136645962732919,0.8812949640287769
2.0,0.1,694880.0,497,402,401245.0,205,180,0.8088531187122736,0.8780487804878049
1.75,0.5,652910.0,711,573,396755.0,300,260,0.8059071729957806,0.8666666666666667
2.0,0.2,696385.0,518,420,394370.0,211,185,0.8108108108108109,0.8767772511848341
2.0,0.3,681930.0,536,439,378765.0,216,192,0.8190298507462687,0.8888888888888888
2.0,0.5,629295.0,572,463,336660.0,227,200,0.8094405594405595,0.8810572687224669
1.75,0.75,593685.0,819,667,336610.0,331,281,0.8144078144078144,0.8489425981873112
2.0,0.75,556380.0,629,506,297745.0,247,209,0.8044515103338633,0.8461538461538461
2.5,0.1,458985.0,306,238,256550.0,114,100,0.7777777777777778,0.8771929824561403
2.5,0.2,462505.0,315,249,252445.0,116,103,0.7904761904761904,0.8879310344827587
2.5,0.3,459225.0,323,257,240870.0,117,105,0.7956656346749226,0.8974358974358975
2.5,0.5,404005.0,330,265,203430.0,118,106,0.803030303030303,0.8983050847457628
2.5,0.75,382635.0,349,280,186165.0,125,110,0.8022922636103151,0.88
2.0,0.0,-92700.0,23,11,74515.0,23,17,0.4782608695652174,0.7391304347826086
2.5,0.0,-14340.0,23,13,62575.0,23,17,0.5652173913043478,0.7391304347826086
1.75,0.0,-100295.0,23,10,57135.0,23,16,0.43478260869565216,0.6956521739130435
1.5,0.0,-108765.0,23,10,56130.0,23,16,0.43478260869565216,0.6956521739130435
1.25,0.0,-3970.0,23,14,51620.0,23,16,0.6086956521739131,0.6956521739130435
1.0,0.0,-43685.0,23,12,46860.0,23,16,0.5217391304347826,0.6956521739130435
