a,b,raw_d4_pnl,raw_n,raw_w,c,gamma,pnl_3leg,n_3leg,w_3leg,improvement
PANEL_1X4,SNACKPACK_CHOCOLATE,5735.0,10,8,TRANSLATOR_ECLIPSE_CHARCOAL,1,39600.0,25,24,33865.0
SLEEP_POD_COTTON,PEBBLES_L,19980.0,14,12,MICROCHIP_TRIANGLE,1,53120.0,18,17,33140.0
MICROCHIP_CIRCLE,PEBBLES_XL,45030.0,16,14,GALAXY_SOUNDS_SOLAR_WINDS,1,71255.0,22,22,26225.0
GALAXY_SOUNDS_BLACK_HOLES,OXYGEN_SHAKE_GARLIC,23480.0,18,16,PEBBLES_XS,-1,49560.0,22,21,26080.0
ROBOT_MOPPING,UV_VISOR_MAGENTA,6935.0,12,9,ROBOT_DISHES,1,32915.0,16,14,25980.0
TRANSLATOR_GRAPHITE_MIST,PANEL_4X4,21020.0,18,16,GALAXY_SOUNDS_SOLAR_FLAMES,-1,45270.0,24,24,24250.0
SLEEP_POD_NYLON,OXYGEN_SHAKE_CHOCOLATE,11320.0,10,8,ROBOT_DISHES,-1,35480.0,18,16,24160.0
PEBBLES_S,PANEL_2X2,26755.0,18,17,PEBBLES_L,-1,49145.0,18,18,22390.0
ROBOT_IRONING,TRANSLATOR_ECLIPSE_CHARCOAL,18365.0,17,15,MICROCHIP_TRIANGLE,1,39805.0,20,19,21440.0
TRANSLATOR_ASTRO_BLACK,OXYGEN_SHAKE_MORNING_BREATH,12100.0,11,8,PANEL_1X2,1,29770.0,20,19,17670.0
SLEEP_POD_LAMB_WOOL,SNACKPACK_VANILLA,23195.0,17,15,TRANSLATOR_ECLIPSE_CHARCOAL,1,40725.0,24,24,17530.0
OXYGEN_SHAKE_EVENING_BREATH,SNACKPACK_STRAWBERRY,20270.0,14,12,MICROCHIP_SQUARE,1,37475.0,17,16,17205.0
GALAXY_SOUNDS_PLANETARY_RINGS,MICROCHIP_SQUARE,29830.0,11,10,UV_VISOR_MAGENTA,1,46100.0,16,15,16270.0
MICROCHIP_OVAL,PEBBLES_XS,31560.0,24,22,MICROCHIP_TRIANGLE,-1,45715.0,22,21,14155.0
GALAXY_SOUNDS_DARK_MATTER,TRANSLATOR_SPACE_GRAY,19245.0,13,11,SLEEP_POD_POLYESTER,1,32945.0,18,17,13700.0
ROBOT_LAUNDRY,UV_VISOR_AMBER,17650.0,14,14,MICROCHIP_TRIANGLE,1,31100.0,20,18,13450.0
SLEEP_POD_POLYESTER,MICROCHIP_TRIANGLE,47830.0,27,26,PANEL_2X4,-1,60205.0,31,31,12375.0
MICROCHIP_RECTANGLE,TRANSLATOR_VOID_BLUE,34075.0,20,19,ROBOT_VACUUMING,1,45850.0,23,22,11775.0
GALAXY_SOUNDS_SOLAR_FLAMES,SNACKPACK_PISTACHIO,17450.0,22,20,PEBBLES_M,-1,27690.0,15,13,10240.0
SLEEP_POD_SUEDE,PEBBLES_M,32345.0,16,15,SLEEP_POD_POLYESTER,-1,42385.0,15,14,10040.0
ROBOT_VACUUMING,SNACKPACK_RASPBERRY,32470.0,27,27,SLEEP_POD_POLYESTER,-1,40850.0,22,22,8380.0
ROBOT_DISHES,UV_VISOR_RED,33200.0,13,13,MICROCHIP_RECTANGLE,-1,41450.0,15,14,8250.0
PANEL_1X2,PANEL_2X4,29865.0,19,18,MICROCHIP_TRIANGLE,1,36910.0,16,16,7045.0
